pivot_len,atr_mult,min_rr,net_profit,win_rate,profit_factor,max_dd,violations,green_days,k_days,total_trades,score
6,2.0,4.0,216313.88419640926,77.41935483870968,8.772536409749938,3983.4551163737196,0,73,53,124,216313.88419640926
5,2.0,4.0,212253.11563602329,78.99159663865547,8.749588806368017,6008.7444971565565,0,74,54,119,212253.11563602329
6,2.0,3.5,212231.10764196725,77.41935483870968,8.625835103265787,3983.4551163737196,0,73,53,124,212231.10764196725
5,1.5,4.0,210893.6183006763,78.99159663865547,9.245853926924655,5378.477368232998,0,74,54,119,210893.6183006763
6,1.5,4.0,209847.6596159861,76.61290322580645,8.126078215947755,4341.363200100837,0,72,53,124,209847.6596159861
5,2.0,3.5,209290.59541094356,78.99159663865547,8.64142401686129,6008.7444971565565,0,74,54,119,209290.59541094356
5,1.5,3.5,207412.47284377879,78.99159663865547,9.109742568187244,5378.477368232998,0,74,54,119,207412.47284377879
6,2.0,3.0,206574.32366971904,77.41935483870968,8.422576955737597,3983.4551163737196,0,73,53,124,206574.32366971904
6,1.2,4.0,205525.33842168655,75.80645161290323,7.748847096041148,4085.6295853093034,0,71,52,124,205525.33842168655
6,1.5,3.5,205350.62266585277,76.61290322580645,7.973366305291713,4341.363200100837,0,72,53,124,205350.62266585277
5,2.0,3.0,204754.06776805763,78.99159663865547,8.475790529052444,6008.7444971565565,0,74,54,119,204754.06776805763
5,1.2,4.0,204477.46833940147,77.31092436974791,8.337286894769557,5000.317090878816,0,72,52,119,204477.46833940147
6,1.0,4.0,202451.56632987107,75.80645161290323,7.739891954467924,3938.9110446833365,0,71,52,124,202451.56632987107
5,1.0,4.0,201721.45016608725,77.31092436974791,8.34363405960658,4748.210239309352,0,72,52,119,201721.45016608725
5,1.5,3.0,201146.1602568875,78.99159663865547,8.864732317671809,5378.477368232998,0,74,54,119,201146.1602568875
6,1.2,3.5,198256.00858258817,75.80645161290323,7.510143703303724,4085.6295853093034,0,71,52,124,198256.00858258817
5,1.2,3.5,198161.41109186312,77.31092436974791,8.110647136143163,5000.317090878816,0,72,52,119,198161.41109186312
6,1.5,3.0,198068.41858572577,76.61290322580645,7.726074741714385,4341.363200100837,0,72,53,124,198068.41858572577
5,1.0,3.5,196668.75610572,77.31092436974791,8.159691617372834,4748.210239309352,0,72,52,119,196668.75610572
6,1.0,3.5,196259.68258982437,75.80645161290323,7.533755602158643,3938.9110446833365,0,71,52,124,196259.68258982437
5,0.8,4.0,195646.2575844294,74.78991596638656,7.387845852522714,5465.8690463604,0,69,52,119,195646.2575844294
6,0.8,4.0,195279.17125774443,73.38709677419355,6.859720243078627,3981.6689131743333,0,68,51,124,195279.17125774443
6,2.0,2.5,193388.48597127484,77.41935483870968,7.94878673193878,3983.4551163737196,0,73,53,124,193388.48597127484
5,2.0,2.5,192250.03350837686,78.99159663865547,8.019254832778238,6008.7444971565565,0,74,54,119,192250.03350837686
4,1.5,4.0,192104.23886943236,76.99115044247787,7.989000561321424,5777.384518670908,0,72,53,113,192104.23886943236
5,1.2,3.0,192028.6766782166,77.31092436974791,7.89058557039813,5000.317090878816,0,72,52,119,192028.6766782166
4,2.0,4.0,191134.40876700927,76.99115044247787,7.5637590981532155,6008.7444971565565,0,72,53,113,191134.40876700927
4,2.0,3.5,190386.37793654762,76.99115044247787,7.538070923005602,6008.7444971565565,0,72,53,113,190386.37793654762
6,1.2,3.0,190189.19766350574,75.80645161290323,7.245253379494302,4085.6295853093034,0,71,52,124,190189.19766350574
5,1.0,3.0,188807.43545668008,77.31092436974791,7.873501616139717,4748.210239309352,0,72,52,119,188807.43545668008
5,0.8,3.5,188676.8114054454,74.78991596638656,7.160293593570911,5465.8690463604,0,69,52,119,188676.8114054454
5,1.5,2.5,188524.7727522176,78.99159663865547,8.371241245930417,5378.477368232998,0,74,54,119,188524.7727522176
4,1.5,3.5,187942.39626347605,76.99115044247787,7.837587346910631,5777.384518670908,0,72,53,113,187942.39626347605
6,0.8,3.5,186845.54858603026,73.38709677419355,6.606653471166206,3981.6689131743333,0,68,51,124,186845.54858603026
6,1.0,3.0,186792.7834306484,75.80645161290323,7.218589468186995,3938.9110446833365,0,71,52,124,186792.7834306484
4,1.2,4.0,185838.8588740878,75.22123893805309,7.407955176321614,5271.028098737937,0,70,51,113,185838.8588740878
4,2.0,3.0,185294.48706848902,76.99115044247787,7.3632099692525586,6008.7444971565565,0,72,53,113,185294.48706848902
4,1.0,4.0,184781.64191199915,75.22123893805309,7.498281729322169,4933.457152115938,0,70,51,113,184781.64191199915
6,1.5,2.5,183810.3121515002,76.61290322580645,7.241893112776842,4341.363200100837,0,72,53,124,183810.3121515002
4,1.5,3.0,183237.1981219988,76.99115044247787,7.66640615567068,5777.384518670908,0,72,53,113,183237.1981219988
4,1.2,3.5,180664.15681833506,75.22123893805309,7.229525008244931,5271.028098737937,0,70,51,113,180664.15681833506
4,0.8,4.0,180342.25659195555,73.45132743362832,6.920961661723689,4595.8862054940255,0,68,51,113,180342.25659195555
5,0.8,3.0,180061.16426714323,74.78991596638656,6.878992910804449,5465.8690463604,0,69,52,119,180061.16426714323
4,1.0,3.5,179195.05278519547,75.22123893805309,7.3018161623086115,4933.457152115938,0,70,51,113,179195.05278519547
6,0.8,3.0,177170.2288564457,73.38709677419355,6.316327234565811,3981.6689131743333,0,68,51,124,177170.2288564457
5,1.2,2.5,177072.4014921863,77.31092436974791,7.353907946167774,5000.317090878816,0,72,52,119,177072.4014921863
4,2.0,2.5,175183.0791389225,76.99115044247787,7.015973455319935,6008.7444971565565,0,72,53,113,175183.0791389225
6,1.2,2.5,174751.06252527417,75.80645161290323,6.7383104677537835,4085.6295853093034,0,71,52,124,174751.06252527417
4,1.2,3.0,173840.92033196613,75.22123893805309,6.994251320992484,5271.028098737937,0,70,51,113,173840.92033196613
3,2.0,4.0,173783.1858977066,79.6116504854369,8.852265161409445,4356.281225225801,0,73,53,103,173783.1858977066
5,2.0,2.0,173266.0877451839,78.99159663865547,7.326130620460807,6008.7444971565565,0,74,54,119,173266.0877451839
5,1.0,2.5,173083.4243326792,77.31092436974791,7.301071745400774,4748.210239309352,0,72,52,119,173083.4243326792
4,0.8,3.5,172958.46044113016,73.45132743362832,6.678538312070594,4595.8862054940255,0,68,51,113,172958.46044113016
6,2.0,2.0,172904.5230582591,77.41935483870968,7.212762097418225,3983.4551163737196,0,73,53,124,172904.5230582591
6,1.0,2.5,172109.0713198604,75.80645161290323,6.72974843370486,3938.9110446833365,0,71,52,124,172109.0713198604
4,1.0,3.0,171299.42817443534,75.22123893805309,7.0241479230896715,4933.457152115938,0,70,51,113,171299.42817443534
3,2.0,3.5,170758.21990722726,79.6116504854369,8.715584302793635,4356.281225225801,0,73,53,103,170758.21990722726
4,1.5,2.5,170554.42589735385,76.99115044247787,7.20499050592335,5777.384518670908,0,72,53,113,170554.42589735385
3,1.5,4.0,167648.01211602212,78.64077669902912,8.024783988231235,4329.395008526597,0,72,53,103,167648.01211602212
5,1.5,2.0,167551.06099721417,78.99159663865547,7.551177723711339,5378.477368232998,0,74,54,119,167551.06099721417
5,0.8,2.5,165325.47194853076,74.78991596638656,6.397872892340115,5465.8690463604,0,69,52,119,165325.47194853076
6,0.8,2.5,165004.39066073182,73.38709677419355,5.95126828900448,3981.6689131743333,0,68,51,124,165004.39066073182
6,1.5,2.0,164403.07103504695,76.61290322580645,6.582855416551489,4341.363200100837,0,72,53,124,164403.07103504695
4,0.8,3.0,164132.67969095253,73.45132743362832,6.388772006357684,4595.8862054940255,0,68,51,113,164132.67969095253
3,2.0,3.0,163087.50893125805,79.6116504854369,8.368988881328072,4356.281225225801,0,73,53,103,163087.50893125805
3,1.5,3.5,161798.83878574212,78.64077669902912,7.779692032553862,4329.395008526597,0,72,53,103,161798.83878574212
4,1.2,2.5,159538.31875331805,75.22123893805309,6.501079815441753,5271.028098737937,0,70,51,113,159538.31875331805
3,1.2,4.0,157774.41976193863,75.72815533980582,7.161718812210204,3945.7228456654993,0,69,50,103,157774.41976193863
5,1.2,2.0,156891.08000680438,77.31092436974791,6.629739426005736,5000.317090878816,0,72,52,119,156891.08000680438
6,1.2,2.0,156549.28550943278,75.80645161290323,6.14061769225711,4085.6295853093034,0,71,52,124,156549.28550943278
4,1.0,2.5,156112.4246842041,75.22123893805309,6.490061169218735,4933.457152115938,0,70,51,113,156112.4246842041
4,2.0,2.0,155769.49327286961,76.99115044247787,6.349290247005439,6008.7444971565565,0,72,53,113,155769.49327286961
3,1.5,3.0,155245.13877736707,78.64077669902912,7.505079012683134,4329.395008526597,0,72,53,103,155245.13877736707
3,1.0,4.0,155178.491365947,75.72815533980582,7.172280510311481,3689.941403758101,0,69,50,103,155178.491365947
5,1.0,2.0,154563.34162153665,77.31092436974791,6.626851378294068,4748.210239309352,0,72,53,119,154563.34162153665
3,2.0,2.5,153878.92956670612,79.6116504854369,7.95290601026765,4356.281225225801,0,73,53,103,153878.92956670612
6,1.0,2.0,152346.3347675876,75.80645161290323,6.071819668313628,3938.9110446833365,0,71,52,124,152346.3347675876
3,1.2,3.5,150871.69549286424,75.72815533980582,6.89213996635907,3945.7228456654993,0,69,50,103,150871.69549286424
4,1.5,2.0,150356.12004548486,76.99115044247787,6.470150026779113,5777.384518670908,0,72,53,113,150356.12004548486
4,0.8,2.5,150103.6101010926,73.45132743362832,5.928172340139918,4595.8862054940255,0,68,51,113,150103.6101010926
5,0.8,2.0,149723.98688284482,76.47058823529412,6.0501485805703155,5465.8690463604,0,71,55,119,149723.98688284482
3,0.8,4.0,149720.94537924515,72.81553398058253,6.494880963866469,3434.1599618507607,0,67,49,103,149720.94537924515
3,1.0,3.5,149242.89175488823,75.72815533980582,6.936189893152724,3689.941403758101,0,69,50,103,149242.89175488823
6,0.8,2.0,144463.64422114863,74.19354838709677,5.335531309513884,3981.6689131743333,0,69,52,124,144463.64422114863
4,1.2,2.0,142880.27962773398,76.10619469026548,5.927508630972597,5271.028098737937,0,71,52,113,142880.27962773398
3,1.2,3.0,142555.52233030484,75.72815533980582,6.567360317676749,3945.7228456654993,0,69,50,103,142555.52233030484
3,1.5,2.5,142474.31955237122,78.64077669902912,6.969956375223764,4329.395008526597,0,72,53,103,142474.31955237122
3,1.0,3.0,141845.51638019882,76.69902912621359,6.643038207168606,3689.941403758101,0,70,51,103,141845.51638019882
3,0.8,3.5,141164.9021136497,72.81553398058253,6.180867188792784,3434.1599618507607,0,67,49,103,141164.9021136497
4,1.0,2.0,140976.08818404918,76.10619469026548,5.958596538643614,4933.457152115938,0,71,53,113,140976.08818404918
3,2.0,2.0,139648.00550588273,80.58252427184466,7.3112663619901435,4356.281225225801,0,74,54,103,139648.00550588273
4,0.8,2.0,136807.41980243655,75.22123893805309,5.641028999439826,4595.8862054940255,0,70,55,113,136807.41980243655
3,0.8,3.0,133063.66075975652,73.7864077669903,5.884408835211867,3434.1599618507607,0,68,50,103,133063.66075975652
3,1.2,2.5,132081.1553980374,76.69902912621359,6.159265547330191,3945.7228456654993,0,70,51,103,132081.1553980374
3,1.0,2.5,128985.14804298349,76.69902912621359,6.1314143523077425,3689.941403758101,0,70,52,103,128985.14804298349
3,1.5,2.0,128968.48736627749,79.6116504854369,6.40512661770626,4329.395008526597,0,73,54,103,128968.48736627749
3,0.8,2.5,122244.9838327893,73.7864077669903,5.487284324540337,3434.1599618507607,0,68,51,103,122244.9838327893
2,2.0,4.0,118710.19674699917,74.4186046511628,6.009533706420614,4356.281225225801,0,62,45,86,118710.19674699917
3,1.2,2.0,117568.02418427874,76.69902912621359,5.592363345200152,3945.7228456654993,0,70,52,103,117568.02418427874
2,2.0,3.5,117512.85421165766,74.4186046511628,5.9590062205492265,4356.281225225801,0,62,45,86,117512.85421165766
3,1.0,2.0,117427.23691634164,76.69902912621359,5.671606134557101,3689.941403758101,0,70,53,103,117427.23691634164
3,0.8,2.0,112415.08073467616,73.7864077669903,5.1264550397637265,3434.1599618507607,0,68,53,103,112415.08073467616
2,2.0,3.0,111914.60883411474,74.4186046511628,5.722761991459241,4356.281225225801,0,62,45,86,111914.60883411474
2,1.5,4.0,108372.62538003782,69.76744186046511,4.95330049660983,4329.395008526597,0,58,42,86,108372.62538003782
2,1.2,4.0,106579.26525201183,69.76744186046511,5.2212646036587405,3945.7228456654993,0,58,42,86,106579.26525201183
2,2.0,2.5,105862.90604731173,74.4186046511628,5.467381999491565,4356.281225225801,0,62,45,86,105862.90604731173
2,1.0,4.0,104913.18088237767,69.76744186046511,5.265006076525382,3689.941403758101,0,58,42,86,104913.18088237767
2,1.5,3.5,103394.77454321302,69.76744186046511,4.771714601497851,4329.395008526597,0,58,42,86,103394.77454321302
2,1.2,3.5,102032.90401904762,69.76744186046511,5.041197742597358,3945.7228456654993,0,58,42,86,102032.90401904762
2,1.0,3.5,100518.81305584538,69.76744186046511,5.086363075474254,3689.941403758101,0,58,42,86,100518.81305584538
2,0.8,4.0,100503.42604486283,67.44186046511628,4.790407104050177,3434.1599618507607,0,56,42,86,100503.42604486283
2,2.0,2.0,99823.23941982514,75.5813953488372,5.213366719006363,4356.281225225801,0,63,46,86,99823.23941982514
2,1.5,3.0,98965.59002307779,69.76744186046511,4.6101433808909515,4329.395008526597,0,58,42,86,98965.59002307779
2,1.0,3.0,97018.07843358838,70.93023255813954,4.94482146796794,3689.941403758101,0,59,43,86,97018.07843358838
2,1.2,3.0,96057.5319528493,69.76744186046511,4.8045323223855405,3945.7228456654993,0,58,42,86,96057.5319528493
2,0.8,3.5,94870.47263481171,67.44186046511628,4.577964728078729,3434.1599618507607,0,56,42,86,94870.47263481171
2,1.2,2.5,90610.96460136521,70.93023255813954,4.589496245648095,3945.7228456654993,0,59,43,86,90610.96460136521
2,0.8,3.0,90604.35693618574,68.6046511627907,4.417692670803622,3434.1599618507607,0,57,43,86,90604.35693618574
2,1.5,2.5,90218.10460807878,69.76744186046511,4.291045838371028,4329.395008526597,0,58,42,86,90218.10460807878
2,1.0,2.5,87205.80521061952,70.93023255813954,4.54584772323406,3689.941403758101,0,59,44,86,87205.80521061952
2,0.8,2.5,85014.43288395443,69.76744186046511,4.319023766392014,3434.1599618507607,0,57,44,86,85014.43288395443
2,1.2,2.0,83619.48325128679,72.09302325581395,4.459178818232529,3945.7228456654993,0,59,45,86,83619.48325128679
2,1.5,2.0,82294.9171301797,70.93023255813954,4.002545468953877,4329.395008526597,0,59,43,86,82294.9171301797
2,1.0,2.0,81351.41264791455,72.09302325581395,4.445537606879764,3919.1318876571895,0,59,46,86,81351.41264791455
2,0.8,2.0,73069.32372733316,69.76744186046511,3.8526782314274937,3640.2840071990213,0,57,46,86,73069.32372733316
